filename,Numeral,Intonation,Speaker
00153.wav,0,neutral,14
00154.wav,14,excited,71
00155.wav,1,excited,3
00158.wav,50,excited,68
00161.wav,20,excited,85
00162.wav,3,excited,106
00163.wav,80,excited,135
00165.wav,1000000000,neutral,122
00166.wav,1000000000,question,82
00168.wav,20,neutral,51
00169.wav,15,neutral,41
00170.wav,16,question,120
00171.wav,60,neutral,4
00173.wav,90,question,64
00174.wav,14,excited,21
00176.wav,12,excited,57
00178.wav,50,bored,44
00179.wav,9,excited,22
00181.wav,70,excited,61
00182.wav,18,neutral,134
00183.wav,9,question,40
00184.wav,11,question,46
00186.wav,11,excited,102
00187.wav,8,bored,83
00188.wav,5,excited,100
00189.wav,11,bored,13
00191.wav,100,bored,71
00192.wav,7,neutral,92
00194.wav,1000000,question,36
00197.wav,1000000,question,29
00199.wav,1000,question,34
00201.wav,1000,bored,7
00202.wav,100,question,38
00203.wav,15,question,7
00204.wav,1,bored,60
00205.wav,80,excited,91
00206.wav,7,neutral,107
00208.wav,100,excited,5
00209.wav,80,bored,108
00210.wav,9,excited,113
00211.wav,2,neutral,80
00212.wav,9,question,99
00213.wav,2,excited,3
00214.wav,16,question,23
00215.wav,16,neutral,136
00216.wav,20,excited,2
00218.wav,7,question,144
00219.wav,7,excited,99
00220.wav,9,excited,37
00223.wav,4,question,119
00224.wav,7,neutral,75
00226.wav,18,neutral,75
00227.wav,6,bored,42
00228.wav,2,neutral,90
00230.wav,7,excited,112
00231.wav,18,excited,53
00232.wav,18,question,139
00233.wav,30,question,102
00237.wav,80,excited,129
00239.wav,1000000000,question,130
00241.wav,13,neutral,24
00242.wav,17,excited,9
00243.wav,11,question,136
00244.wav,80,neutral,153
00245.wav,60,question,28
00246.wav,10,neutral,9
00247.wav,100,excited,37
00248.wav,16,neutral,143
00250.wav,16,excited,96
00251.wav,0,neutral,144
00253.wav,11,question,16
00255.wav,1000,question,92
00256.wav,20,neutral,96
00260.wav,19,bored,76
00261.wav,18,neutral,52
00263.wav,0,question,5
00264.wav,17,neutral,100
00265.wav,4,question,140
00266.wav,8,question,59
00268.wav,9,excited,67
00269.wav,30,neutral,18
00270.wav,90,excited,68
00271.wav,100,neutral,11
00274.wav,3,question,39
00275.wav,20,question,114
00276.wav,60,bored,24
00277.wav,1,question,54
00278.wav,18,bored,59
00279.wav,1000000000,excited,139
00280.wav,18,excited,20
00282.wav,4,bored,103
00283.wav,70,bored,37
00285.wav,13,excited,77
00290.wav,1000000,bored,10
00291.wav,100,excited,71
00292.wav,6,bored,38
00293.wav,4,question,69
00294.wav,19,excited,99
00295.wav,60,bored,122
00296.wav,3,excited,43
00297.wav,8,neutral,33
00298.wav,100,excited,141
00301.wav,0,bored,4
00302.wav,7,excited,96
00303.wav,50,excited,135
00304.wav,13,neutral,34
00305.wav,1000000,neutral,138
00311.wav,13,neutral,144
00312.wav,20,question,120
00313.wav,80,bored,35
00314.wav,3,excited,91
00315.wav,5,question,62
00316.wav,1000,excited,49
00317.wav,30,question,51
00318.wav,1000000000,bored,140
00319.wav,14,question,134
00320.wav,1,excited,100
00321.wav,20,neutral,31
00322.wav,19,excited,63
00323.wav,4,neutral,95
00325.wav,1000,excited,32
00326.wav,80,neutral,43
00327.wav,20,excited,54
00328.wav,20,neutral,61
00329.wav,40,bored,143
00331.wav,2,question,114
00332.wav,80,bored,46
00333.wav,100,excited,11
00334.wav,50,question,153
00335.wav,14,neutral,108
00336.wav,80,bored,61
00339.wav,9,neutral,85
00340.wav,100,excited,56
00341.wav,10,bored,64
00342.wav,1,neutral,101
00347.wav,14,neutral,25
00349.wav,11,neutral,39
00350.wav,18,neutral,4
00352.wav,8,excited,92
00353.wav,10,bored,25
00354.wav,11,bored,23
00355.wav,15,question,68
00356.wav,11,question,24
00357.wav,40,bored,69
00358.wav,13,neutral,31
00359.wav,6,excited,47
00360.wav,17,bored,116
00362.wav,50,bored,41
00363.wav,90,question,146
00364.wav,70,question,20
00365.wav,50,neutral,145
00367.wav,5,neutral,103
00368.wav,6,neutral,72
00369.wav,11,neutral,153
00370.wav,5,question,100
00371.wav,7,question,43
00372.wav,90,neutral,111
00375.wav,10,neutral,33
00377.wav,8,neutral,47
00381.wav,1,bored,105
00382.wav,13,neutral,139
00384.wav,3,question,60
00385.wav,19,neutral,30
00386.wav,20,neutral,73
00387.wav,2,question,9
00389.wav,5,question,95
00390.wav,8,bored,22
00391.wav,2,excited,131
00392.wav,1000,excited,100
00393.wav,13,excited,81
00394.wav,40,excited,33
00395.wav,20,neutral,100
00396.wav,1000000,neutral,35
00397.wav,3,bored,9
00398.wav,50,bored,143
00402.wav,40,excited,105
00403.wav,30,bored,125
00404.wav,2,neutral,127
00405.wav,9,neutral,119
00408.wav,60,bored,125
00409.wav,15,neutral,10
00410.wav,90,neutral,138
00413.wav,11,bored,61
00415.wav,11,neutral,85
00418.wav,5,excited,31
00419.wav,13,neutral,116
00420.wav,16,bored,26
00423.wav,40,question,36
00424.wav,90,neutral,117
00425.wav,17,neutral,127
00426.wav,2,neutral,1
00429.wav,16,neutral,111
00430.wav,18,question,98
00431.wav,16,neutral,109
00432.wav,30,excited,117
00433.wav,1000000,bored,101
00434.wav,1000000,neutral,137
00436.wav,40,excited,27
00437.wav,4,neutral,126
00439.wav,1000000000,neutral,6
00440.wav,2,neutral,30
00441.wav,100,bored,87
00443.wav,19,question,143
00444.wav,8,question,39
00445.wav,90,bored,144
00446.wav,50,neutral,100
00447.wav,80,excited,51
00448.wav,1000,neutral,148
00449.wav,18,excited,117
00450.wav,19,excited,132
00451.wav,0,question,128
00452.wav,0,bored,128
00453.wav,5,excited,148
00455.wav,15,bored,81
00456.wav,17,neutral,117
00458.wav,100,excited,115
00459.wav,5,bored,96
00461.wav,3,bored,20
00463.wav,13,question,126
00464.wav,2,bored,68
00465.wav,14,excited,144
00468.wav,9,question,101
00469.wav,13,neutral,110
00470.wav,18,bored,143
00471.wav,4,question,120
00472.wav,11,question,80
00474.wav,30,question,129
00475.wav,2,bored,54
00478.wav,8,neutral,125
00480.wav,1000000,bored,28
00481.wav,8,bored,104
00482.wav,4,question,137
00483.wav,7,bored,23
00484.wav,16,excited,83
00486.wav,6,bored,67
00487.wav,15,question,50
00488.wav,1,neutral,89
00490.wav,3,neutral,29
00492.wav,1,excited,29
00493.wav,70,excited,71
00494.wav,50,excited,41
00496.wav,40,neutral,48
00501.wav,19,bored,139
00502.wav,18,question,68
00503.wav,30,bored,55
00504.wav,19,neutral,17
00505.wav,90,excited,147
00506.wav,15,question,151
00507.wav,5,excited,100
00508.wav,90,neutral,11
00509.wav,1,question,12
00513.wav,14,neutral,97
00514.wav,90,excited,30
00516.wav,40,excited,119
00517.wav,12,neutral,66
00518.wav,16,excited,110
00520.wav,4,question,20
00522.wav,1000000,question,66
00523.wav,1000000,excited,77
00526.wav,8,question,143
00527.wav,4,neutral,35
00528.wav,7,neutral,68
00529.wav,100,question,4
00531.wav,1,bored,97
00533.wav,3,bored,53
00534.wav,11,excited,23
00536.wav,12,excited,1
00537.wav,40,excited,22
00539.wav,5,excited,107
00540.wav,19,excited,77
00541.wav,19,neutral,68
00543.wav,80,bored,1
00544.wav,60,question,32
00545.wav,1000000000,question,19
00546.wav,15,bored,114
00547.wav,8,neutral,12
00548.wav,30,neutral,115
00550.wav,50,question,79
00553.wav,6,bored,89
00555.wav,12,neutral,104
00556.wav,1,question,14
00558.wav,70,neutral,52
00559.wav,5,neutral,91
00560.wav,8,excited,115
00562.wav,60,neutral,97
00563.wav,15,question,107
00565.wav,60,neutral,102
00566.wav,0,question,34
00568.wav,8,neutral,68
00570.wav,9,bored,59
00571.wav,11,question,138
00572.wav,1000000,bored,48
00574.wav,15,neutral,28
00577.wav,15,question,117
00578.wav,1000000,bored,117
00579.wav,2,neutral,45
00580.wav,8,bored,65
00581.wav,2,question,96
00582.wav,50,question,42
00584.wav,0,neutral,62
00585.wav,20,excited,32
00589.wav,70,bored,1
00590.wav,20,neutral,126
00591.wav,80,excited,141
00592.wav,40,neutral,131
00593.wav,1000000,question,19
00594.wav,9,excited,116
00595.wav,9,excited,55
00596.wav,10,bored,3
00597.wav,15,excited,48
00598.wav,3,neutral,53
00599.wav,1000000,neutral,84
00600.wav,1,neutral,152
00601.wav,100,bored,89
00602.wav,40,neutral,128
00604.wav,90,bored,93
00605.wav,17,excited,6
00606.wav,18,question,43
00609.wav,13,bored,22
00612.wav,50,neutral,90
00613.wav,1000000,question,80
00614.wav,70,question,9
00616.wav,15,question,91
00617.wav,8,excited,76
00620.wav,5,neutral,48
00622.wav,16,bored,112
00623.wav,20,excited,9
00624.wav,80,excited,78
00625.wav,14,neutral,152
00626.wav,18,neutral,61
00627.wav,9,question,39
00630.wav,30,question,1
00632.wav,80,excited,65
00633.wav,4,excited,28
00634.wav,13,bored,26
00636.wav,90,question,109
00637.wav,80,question,114
00638.wav,18,neutral,134
00640.wav,12,question,26
00646.wav,17,excited,16
00647.wav,20,bored,2
00649.wav,60,excited,128
00650.wav,40,question,71
00651.wav,100,excited,128
00654.wav,20,neutral,117
00655.wav,1000000000,question,24
00656.wav,14,question,102
00658.wav,5,bored,17
00660.wav,4,bored,30
00661.wav,1000000000,excited,111
00663.wav,60,neutral,106
00664.wav,50,excited,119
00665.wav,2,excited,141
00666.wav,90,neutral,100
00668.wav,5,bored,126
00669.wav,30,question,89
00670.wav,80,neutral,53
00671.wav,4,neutral,65
00672.wav,1000000,neutral,125
00674.wav,10,neutral,18
00676.wav,14,excited,2
00679.wav,30,bored,16
00680.wav,18,question,96
00682.wav,8,bored,115
00683.wav,100,neutral,48
00684.wav,6,question,20
00686.wav,11,bored,105
00688.wav,10,excited,59
00689.wav,14,bored,56
00690.wav,11,excited,106
00691.wav,8,bored,52
00692.wav,70,bored,9
00695.wav,13,question,85
00697.wav,2,neutral,114
00699.wav,10,bored,121
00701.wav,1000000000,question,110
00702.wav,8,question,10
00703.wav,10,excited,135
00704.wav,90,question,144
00705.wav,17,bored,119
00710.wav,1000000000,neutral,21
00711.wav,100,question,43
00712.wav,13,neutral,128
00713.wav,1000000,bored,68
00715.wav,16,excited,20
00716.wav,100,neutral,143
00717.wav,1000000,neutral,108
00718.wav,7,excited,103
00721.wav,15,neutral,122
00722.wav,11,neutral,130
00724.wav,50,bored,96
00727.wav,90,bored,65
00729.wav,60,question,150
00730.wav,16,bored,76
00731.wav,90,neutral,94
00732.wav,1000000,neutral,94
00733.wav,14,excited,77
00734.wav,14,bored,153
00735.wav,60,neutral,58
00736.wav,5,neutral,16
00738.wav,8,neutral,3
00740.wav,50,excited,73
00741.wav,9,neutral,79
00743.wav,70,excited,95
00744.wav,15,question,140
00745.wav,50,question,130
00746.wav,6,neutral,112
00747.wav,40,question,85
00748.wav,1000000000,bored,73
00749.wav,8,bored,49
00751.wav,6,question,131
00752.wav,11,question,93
00754.wav,17,question,72
00756.wav,8,neutral,76
00757.wav,11,neutral,107
00759.wav,17,excited,118
00760.wav,0,neutral,18
00762.wav,80,bored,85
00763.wav,15,neutral,40
00764.wav,1000000,bored,33
00765.wav,1000000,bored,36
00767.wav,19,neutral,98
00769.wav,16,bored,121
00771.wav,40,bored,91
00772.wav,9,excited,119
00773.wav,6,question,14
00774.wav,13,bored,122
00775.wav,13,neutral,122
00776.wav,9,question,111
00778.wav,19,neutral,111
00780.wav,18,bored,0
00781.wav,50,neutral,18
00782.wav,1,bored,89
00784.wav,13,excited,117
00786.wav,11,neutral,5
00789.wav,70,bored,117
00790.wav,50,neutral,12
00791.wav,20,bored,21
00792.wav,8,bored,37
00794.wav,1000000000,excited,125
00795.wav,1000000,excited,13
00796.wav,8,bored,69
00797.wav,4,excited,54
00798.wav,7,bored,35
00799.wav,2,neutral,58
00801.wav,90,excited,48
00804.wav,19,bored,28
00805.wav,8,question,152
00807.wav,30,excited,4
00808.wav,12,excited,79
00809.wav,15,bored,131
00810.wav,5,neutral,92
00811.wav,70,neutral,56
00812.wav,30,bored,131
00813.wav,60,neutral,25
00815.wav,5,excited,7
00817.wav,13,excited,142
00818.wav,80,neutral,77
00819.wav,17,neutral,133
00820.wav,3,excited,80
00821.wav,60,bored,36
00822.wav,50,neutral,152
00823.wav,100,bored,56
00824.wav,60,excited,47
00825.wav,1000,bored,152
00826.wav,12,excited,65
00829.wav,1,question,92
00830.wav,17,neutral,41
00831.wav,17,bored,107
00833.wav,4,neutral,141
00834.wav,17,excited,124
00835.wav,100,excited,39
00836.wav,19,neutral,148
00837.wav,15,neutral,47
00839.wav,11,question,127
00840.wav,11,excited,115
00842.wav,12,bored,147
00843.wav,80,neutral,6
00844.wav,4,neutral,4
00845.wav,50,neutral,68
00846.wav,13,neutral,97
00847.wav,16,neutral,105
00848.wav,16,question,80
00849.wav,3,excited,136
00850.wav,18,excited,110
00851.wav,6,question,87
00852.wav,14,bored,133
00853.wav,9,excited,87
00855.wav,80,neutral,18
00857.wav,19,excited,121
00858.wav,0,excited,91
00860.wav,10,neutral,139
00862.wav,13,bored,125
00863.wav,60,neutral,84
00864.wav,0,neutral,92
00865.wav,1000000,bored,130
00866.wav,9,bored,81
00869.wav,5,question,21
00870.wav,18,excited,97
00872.wav,2,question,126
00873.wav,3,excited,141
00874.wav,1000000,bored,3
00875.wav,30,question,5
00878.wav,1,neutral,110
00879.wav,18,neutral,96
00880.wav,40,neutral,27
00881.wav,5,excited,60
00882.wav,100,neutral,141
00884.wav,1000,bored,45
00885.wav,9,bored,114
00886.wav,5,bored,45
00891.wav,10,question,120
00892.wav,1,question,39
00893.wav,18,question,111
00894.wav,14,question,50
00896.wav,1,question,135
00897.wav,1000000000,neutral,143
00898.wav,10,neutral,60
00899.wav,14,bored,143
00901.wav,5,bored,101
00902.wav,4,bored,27
00903.wav,4,excited,143
00904.wav,9,excited,150
00907.wav,70,neutral,52
00908.wav,13,excited,29
00911.wav,50,neutral,131
00912.wav,1000000000,question,71
00913.wav,6,excited,93
00914.wav,5,neutral,150
00915.wav,6,bored,101
00917.wav,5,bored,80
00919.wav,1,excited,60
00920.wav,18,bored,26
00922.wav,50,neutral,49
00923.wav,2,neutral,41
00924.wav,17,question,141
00925.wav,7,bored,15
00929.wav,40,excited,137
00930.wav,100,question,102
00931.wav,4,neutral,139
00932.wav,11,excited,71
00935.wav,19,excited,84
00936.wav,90,neutral,64
00938.wav,13,bored,134
00939.wav,13,bored,52
00941.wav,11,excited,135
00943.wav,70,neutral,124
00944.wav,19,question,90
00948.wav,40,question,100
00949.wav,8,question,4
00950.wav,2,bored,152
00952.wav,14,neutral,37
00953.wav,11,question,121
00954.wav,40,neutral,63
00955.wav,17,excited,71
00957.wav,1,excited,145
00958.wav,1000,bored,101
00959.wav,16,question,52
00960.wav,11,bored,71
00961.wav,3,question,41
00962.wav,15,excited,80
00963.wav,0,bored,96
00965.wav,60,question,140
00966.wav,7,excited,28
00968.wav,2,bored,134
00969.wav,7,neutral,95
00970.wav,80,neutral,5
00971.wav,7,neutral,16
00973.wav,10,bored,44
00976.wav,1000,bored,75
00979.wav,6,excited,56
00980.wav,50,bored,53
00981.wav,1000000,question,2
00983.wav,1000000,neutral,85
00984.wav,9,question,113
00985.wav,8,excited,135
00986.wav,1000,excited,117
00987.wav,9,neutral,104
00989.wav,11,neutral,135
00990.wav,1000000,question,142
00992.wav,8,excited,8
00993.wav,1,neutral,136
00994.wav,0,excited,109
00995.wav,15,neutral,147
00996.wav,60,neutral,117
00997.wav,30,bored,10
00998.wav,11,neutral,46
00999.wav,50,question,77
01000.wav,40,question,96
01001.wav,15,question,34
01002.wav,1000,question,93
01003.wav,14,neutral,134
01006.wav,40,neutral,54
01008.wav,1,bored,145
01009.wav,0,question,13
01010.wav,7,question,115
01012.wav,5,bored,109
01013.wav,1,neutral,150
01014.wav,1000000000,excited,99
01015.wav,0,excited,25
01017.wav,30,question,68
01018.wav,12,question,81
01019.wav,1000000000,question,40
01021.wav,17,question,148
01022.wav,13,excited,47
01023.wav,10,neutral,64
01024.wav,40,question,65
01026.wav,19,question,114
01027.wav,16,bored,19
01028.wav,13,bored,121
01029.wav,6,excited,101
01031.wav,8,neutral,40
01036.wav,9,neutral,111
01037.wav,9,neutral,2
01038.wav,1000,bored,116
01039.wav,13,excited,111
01041.wav,8,neutral,55
01042.wav,8,question,85
01046.wav,40,excited,109
01047.wav,9,neutral,128
01048.wav,50,question,16
01049.wav,11,question,69
01050.wav,15,excited,30
01051.wav,1000000000,excited,64
01053.wav,3,question,47
01054.wav,3,question,26
01055.wav,2,question,30
01056.wav,40,bored,127
01057.wav,1000000,excited,131
01058.wav,6,bored,62
01059.wav,19,neutral,121
01060.wav,4,bored,4
01061.wav,70,bored,26
01062.wav,3,neutral,69
01063.wav,1000,excited,78
01065.wav,60,neutral,140
01066.wav,19,neutral,72
01067.wav,1000000,excited,1
01068.wav,100,question,109
01070.wav,13,bored,76
01071.wav,2,neutral,63
01072.wav,80,bored,64
01073.wav,12,question,8
01074.wav,9,bored,18
01075.wav,0,excited,67
01076.wav,1,neutral,103
01078.wav,60,bored,50
01079.wav,1000000,neutral,24
01080.wav,4,excited,124
01081.wav,15,excited,132
01082.wav,1000000000,question,6
01083.wav,40,bored,96
01084.wav,20,question,21
01088.wav,90,neutral,4
01089.wav,17,bored,17
01091.wav,11,excited,31
01092.wav,1000,question,113
01093.wav,19,question,118
01095.wav,12,bored,151
01097.wav,12,excited,21
01100.wav,1000000,neutral,72
01102.wav,11,neutral,64
01103.wav,15,question,129
01104.wav,8,question,3
01105.wav,2,excited,83
01106.wav,7,neutral,36
01107.wav,20,bored,144
01108.wav,3,bored,28
01109.wav,90,question,30
01110.wav,70,neutral,56
01111.wav,1000000,bored,17
01112.wav,80,excited,5
01113.wav,10,neutral,57
01114.wav,30,question,77
01115.wav,60,question,46
01116.wav,0,bored,2
01118.wav,11,bored,115
01119.wav,70,question,65
01120.wav,90,excited,138
01121.wav,3,question,2
01125.wav,13,excited,32
01126.wav,12,bored,55
01127.wav,8,question,46
01129.wav,2,question,22
01130.wav,1000000000,neutral,57
01131.wav,40,question,20
01132.wav,12,excited,37
01133.wav,1000,neutral,40
01137.wav,80,excited,23
01139.wav,19,bored,13
01140.wav,3,question,97
01142.wav,19,neutral,152
01144.wav,16,excited,53
01146.wav,4,excited,146
01147.wav,13,question,58
01148.wav,10,bored,34
01149.wav,70,neutral,96
01150.wav,50,excited,97
01151.wav,100,bored,148
01153.wav,2,excited,49
01154.wav,0,excited,124
01156.wav,70,bored,72
01158.wav,30,neutral,66
01159.wav,100,question,142
01160.wav,60,neutral,15
01163.wav,70,bored,141
01164.wav,11,bored,76
01165.wav,80,question,5
01166.wav,2,question,78
01167.wav,10,excited,55
01168.wav,6,bored,50
01169.wav,50,excited,20
01172.wav,2,bored,35
01173.wav,80,excited,17
01174.wav,19,neutral,105
01177.wav,80,excited,25
01178.wav,16,question,60
01179.wav,90,excited,95
01180.wav,30,question,57
01181.wav,15,neutral,23
01185.wav,6,question,5
01187.wav,30,question,119
01188.wav,70,neutral,18
01189.wav,8,question,130
01190.wav,30,excited,29
01192.wav,18,question,118
01194.wav,15,question,112
01196.wav,14,neutral,44
01197.wav,8,neutral,120
01198.wav,7,question,21
01199.wav,80,question,105
01201.wav,1000,neutral,57
01202.wav,9,neutral,114
01203.wav,8,excited,43
01204.wav,1000000,excited,44
01206.wav,1,excited,68
01207.wav,90,bored,22
01208.wav,19,neutral,86
01210.wav,2,excited,41
01214.wav,100,bored,59
01215.wav,16,neutral,114
01216.wav,2,question,75
01218.wav,1000,excited,83
01219.wav,30,question,132
01221.wav,7,question,130
01222.wav,6,question,45
01223.wav,70,excited,147
01224.wav,10,question,73
01226.wav,8,neutral,14
01227.wav,1000000000,bored,148
01229.wav,6,bored,60
01230.wav,60,excited,54
01231.wav,10,neutral,59
01232.wav,19,question,9
01233.wav,12,neutral,63
01234.wav,10,neutral,56
01236.wav,6,bored,64
01237.wav,30,question,73
01238.wav,16,question,112
01240.wav,9,bored,16
01241.wav,6,question,82
01242.wav,12,bored,14
01243.wav,30,excited,62
01245.wav,7,excited,80
01247.wav,12,bored,119
01249.wav,13,bored,41
01250.wav,3,neutral,91
01252.wav,20,question,107
01253.wav,10,neutral,147
01254.wav,8,neutral,107
01256.wav,7,bored,98
01257.wav,40,question,12
01258.wav,100,bored,122
01259.wav,7,question,50
01260.wav,20,neutral,89
01263.wav,19,question,131
01264.wav,9,bored,83
01265.wav,7,bored,131
01266.wav,5,excited,53
01267.wav,2,bored,40
01268.wav,20,neutral,44
01269.wav,70,bored,65
01271.wav,8,neutral,145
01272.wav,1000,question,17
01273.wav,20,question,111
01275.wav,60,question,65
01276.wav,50,neutral,73
01277.wav,90,excited,87
01278.wav,10,neutral,151
01279.wav,5,question,39
01280.wav,1000000,bored,143
01281.wav,8,neutral,5
01282.wav,6,neutral,100
01283.wav,6,excited,110
01285.wav,0,bored,69
01286.wav,7,bored,118
01288.wav,11,question,39
01289.wav,100,excited,30
01290.wav,18,neutral,18
01291.wav,90,neutral,119
01296.wav,70,excited,45
01298.wav,30,bored,35
01300.wav,80,excited,31
01302.wav,0,bored,20
01304.wav,20,question,54
01305.wav,0,excited,139
01306.wav,1000000,question,69
01309.wav,30,neutral,122
01311.wav,11,question,2
01314.wav,5,bored,145
01317.wav,1,bored,131
01319.wav,10,question,70
01320.wav,50,question,83
01321.wav,15,bored,145
01322.wav,12,excited,122
01325.wav,16,neutral,113
01326.wav,18,excited,8
01328.wav,100,neutral,68
01329.wav,9,neutral,84
01330.wav,1000000000,neutral,1
01331.wav,3,question,46
01332.wav,60,bored,77
01334.wav,19,bored,73
01335.wav,7,excited,92
01337.wav,2,neutral,76
01338.wav,1000,neutral,76
01340.wav,3,bored,75
01342.wav,20,excited,94
01343.wav,70,neutral,146
01344.wav,1000000,bored,152
01345.wav,2,excited,71
01346.wav,8,bored,25
01347.wav,20,bored,127
01349.wav,2,bored,89
01350.wav,0,question,6
01351.wav,1000,bored,128
01352.wav,5,excited,121
01353.wav,1000,bored,67
01354.wav,0,question,25
01355.wav,100,question,1
01356.wav,17,excited,102
01358.wav,1000,neutral,117
01359.wav,0,question,126
01360.wav,15,excited,132
01363.wav,18,excited,26
01364.wav,40,question,39
01365.wav,8,neutral,1
01367.wav,100,bored,131
01368.wav,17,neutral,66
01369.wav,16,excited,96
01370.wav,1000000,neutral,2
01371.wav,8,excited,66
01372.wav,10,bored,135
01375.wav,17,excited,119
01377.wav,100,question,152
01379.wav,20,neutral,113
01380.wav,3,question,119
01381.wav,3,bored,130
01382.wav,14,neutral,49
01384.wav,14,neutral,114
01385.wav,20,neutral,77
01389.wav,12,excited,126
01390.wav,30,excited,4
01391.wav,10,neutral,53
01392.wav,1000,question,16
01393.wav,3,neutral,145
01394.wav,4,bored,68
01396.wav,90,excited,139
01397.wav,70,neutral,99
01399.wav,6,bored,7
01400.wav,1000000000,neutral,88
01401.wav,9,excited,110
01402.wav,70,excited,82
01403.wav,16,question,129
01405.wav,1000000000,neutral,144
01406.wav,18,question,33
01409.wav,80,excited,62
01411.wav,30,excited,43
01412.wav,19,bored,109
01413.wav,70,question,11
01415.wav,14,excited,72
01417.wav,13,bored,115
01418.wav,13,neutral,48
01419.wav,20,excited,52
01421.wav,90,neutral,127
01422.wav,6,excited,76
01423.wav,11,excited,121
01426.wav,13,excited,5
01427.wav,40,neutral,9
01428.wav,9,excited,100
01431.wav,16,excited,121
01432.wav,50,neutral,2
01433.wav,90,question,1
01434.wav,80,question,106
01436.wav,1000000000,excited,82
01437.wav,2,excited,69
01439.wav,14,question,138
01440.wav,6,question,122
01441.wav,5,bored,82
01442.wav,1000,bored,81
01443.wav,6,neutral,76
01444.wav,80,bored,93
01446.wav,1000,bored,42
01447.wav,4,excited,97
01448.wav,8,excited,138
01449.wav,80,neutral,20
01452.wav,100,bored,22
01453.wav,13,question,69
01457.wav,1,bored,101
01458.wav,1,bored,34
01460.wav,16,neutral,94
01461.wav,0,excited,146
01462.wav,80,bored,145
01465.wav,16,neutral,133
01466.wav,2,question,131
01468.wav,0,excited,27
01470.wav,30,neutral,31
01472.wav,11,bored,87
01473.wav,60,question,73
01474.wav,70,neutral,133
01475.wav,1000,bored,55
01477.wav,16,neutral,138
01478.wav,1,excited,110
01480.wav,8,neutral,137
01481.wav,30,excited,2
01482.wav,1000,question,4
01483.wav,6,excited,55
01484.wav,100,bored,109
01485.wav,70,question,113
01486.wav,10,bored,105
01488.wav,70,bored,75
01489.wav,20,neutral,5
01490.wav,80,excited,131
01491.wav,5,question,130
01492.wav,7,excited,81
01493.wav,14,bored,110
01494.wav,4,bored,109
01496.wav,30,excited,3
01497.wav,1000000,excited,137
01500.wav,60,bored,136
01501.wav,80,neutral,24
01502.wav,13,question,98
01503.wav,14,excited,62
01504.wav,1000,question,143
01505.wav,20,question,61
01507.wav,30,question,151
01508.wav,2,question,85
01511.wav,90,excited,144
01512.wav,18,question,0
01514.wav,10,neutral,45
01516.wav,17,excited,63
01518.wav,9,neutral,9
01519.wav,1000,excited,56
01520.wav,16,neutral,17
01521.wav,15,question,130
01522.wav,9,question,1
01523.wav,90,bored,129
01528.wav,7,excited,110
01529.wav,10,neutral,92
01530.wav,100,excited,66
